DocumentID,Property / Company ID,HistoryID,TicketID,ContractID,ProposalID,SiteSurveyIDs
6E785836-717D-4D27-B570-9390BE4D2394,6ACD4CF1-249D-4DF2-AA77-1BFFE6B3CCE5,NULL,NULL,NULL,15E9DA0E-73FB-4973-B4DC-67AC057E54AF,NULL
E53677CF-705E-443E-B264-939DE81B957D,869E5409-32E2-4BB1-90D6-193335F4E846,NULL,NULL,NULL,NULL,
73786FE4-2B61-41DE-91D2-942EC32E9B25,869E5409-32E2-4BB1-90D6-193335F4E846,NULL,NULL,NULL,NULL,"870221BE-E571-4543-B2CD-D95BF7248B30, 20CB1258-94D1-4260-A3A1-5A9AAFFCEFC3, 395B8C08-8D6E-430C-98A0-47DC1FDADA62"
1944D41F-BB46-45A6-8537-9442AC390540,869E5409-32E2-4BB1-90D6-193335F4E846,NULL,NULL,NULL,FCE186DD-1FFD-432B-AF26-E707145316A0,NULL
776585DE-79C7-44FF-B688-9450E8C6E323,869E5409-32E2-4BB1-90D6-193335F4E846,NULL,NULL,NULL,NULL,"870221BE-E571-4543-B2CD-D95BF7248B30, 20CB1258-94D1-4260-A3A1-5A9AAFFCEFC3, 395B8C08-8D6E-430C-98A0-47DC1FDADA62"
4A872213-166F-4A3E-A9D8-9477C54A5CD8,6ACD4CF1-249D-4DF2-AA77-1BFFE6B3CCE5,NULL,NULL,NULL,D99DD776-FE8B-45CD-AF9D-16AEC48DE4E6,NULL
0B80C3B9-2B99-43A2-A6F2-94A2B019E65B,869E5409-32E2-4BB1-90D6-193335F4E846,NULL,NULL,NULL,NULL,"20CB1258-94D1-4260-A3A1-5A9AAFFCEFC3, 395B8C08-8D6E-430C-98A0-47DC1FDADA62, 870221BE-E571-4543-B2CD-D95BF7248B30"
9A0C3A16-A5D3-452B-AD9C-94A54311ECC8,6ACD4CF1-249D-4DF2-AA77-1BFFE6B3CCE5,NULL,NULL,NULL,CE8D9E8E-CE5F-4AC3-814E-2F1D8FFA3236,NULL
2B450586-C470-4DEF-8883-94D4399923F7,255A53D0-5C59-4CB4-B996-4C4161E0642F,NULL,NULL,NULL,8ED5CB09-7750-40C3-BB39-DAB9B41225C8,NULL
8CE7C62B-C130-49B0-B05F-9529885E873A,255A53D0-5C59-4CB4-B996-4C4161E0642F,NULL,NULL,NULL,NULL,
